url,description,same_package,source_class_inner,target_class_inner,source_file_is_test,target_file_is_test,source_class_static,target_class_static,source_class_exists,target_class_exists
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private maybeFilterRepositories(repositories List<RepositoryMetadata>, sortBy GetSnapshotsRequest.SortBy, order SortOrder, fromSortValue String) : List<RepositoryMetadata> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private maybeFilterRepositories() : List<RepositoryMetadata> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private currentSnapshots(snapshotsInProgress SnapshotsInProgress, repositoryName String) : List<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private currentSnapshots(repositoryName String) : List<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,Move Method private isCurrentSnapshotsOnly(snapshots String[]) : boolean from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private isCurrentSnapshotsOnly() : boolean from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation,True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private buildSimpleSnapshotInfos(toResolve Set<Snapshot>, repoName String, repositoryData RepositoryData, currentSnapshots List<SnapshotInfo>, sortBy GetSnapshotsRequest.SortBy, after GetSnapshotsRequest.After, order SortOrder, indices boolean) : SnapshotsInRepo from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private buildSimpleSnapshotInfos(toResolve Set<Snapshot>, repoName String, repositoryData RepositoryData, currentSnapshots List<SnapshotInfo>) : SnapshotsInRepo from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private buildAfterPredicate(sortBy GetSnapshotsRequest.SortBy, after GetSnapshotsRequest.After, order SortOrder) : Predicate<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private buildAfterPredicate() : Predicate<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private filterByLongOffset(extractor ToLongFunction<SnapshotInfo>, after long, snapshotName String, repoName String, order SortOrder) : Predicate<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private filterByLongOffset(extractor ToLongFunction<SnapshotInfo>, after long, snapshotName String, repoName String, order SortOrder) : Predicate<SnapshotInfo> from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private compareRepositoryName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private compareRepositoryName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private compareName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private compareName(name String, repoName String, info SnapshotInfo) : int from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.GetSnapshotsOperation",True,False,True,False,False,False,False,True,False
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private getDuration(snapshotId SnapshotId, repositoryData RepositoryData) : long from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private getDuration(snapshotId SnapshotId, repositoryData RepositoryData) : long from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.SnapshotPredicates",True,False,True,False,False,False,True,True,True
https://github.com/elastic/elasticsearch/commit/b95cb8c40dc701cbce18308cdcd5538fd60facb9,"Move Method private getStartTime(snapshotId SnapshotId, repositoryData RepositoryData) : long from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction to private getStartTime(snapshotId SnapshotId, repositoryData RepositoryData) : long from class org.elasticsearch.action.admin.cluster.snapshots.get.TransportGetSnapshotsAction.SnapshotPredicates",True,False,True,False,False,False,True,True,True
